GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Pruebas Unitarias con JUnit 5,com.lab04.resueltos,Transaccion.Tipo,15,0,0,0,1,0,1,0,1,0
Pruebas Unitarias con JUnit 5,com.lab04.resueltos,Calculadora,28,0,2,0,7,0,6,0,5,0
Pruebas Unitarias con JUnit 5,com.lab04.resueltos,CuentaBancaria,108,0,12,0,26,0,13,0,7,0
Pruebas Unitarias con JUnit 5,com.lab04.resueltos,Transaccion,21,0,0,0,8,0,4,0,4,0
Pruebas Unitarias con JUnit 5,com.lab04.inventario,Movimiento,0,35,0,4,0,12,0,6,0,4
Pruebas Unitarias con JUnit 5,com.lab04.inventario,TipoMovimiento,0,15,0,0,0,3,0,1,0,1
Pruebas Unitarias con JUnit 5,com.lab04.inventario,Producto,0,152,0,18,0,41,0,22,0,13
